Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2023-12-08, 19:37:34,  -07:00,   KPRC,   34.6394424, -112.4127502,5178.7,30.09,  5199.8,6.5,67.53,  67.02,-335.58,-1.42,1.32,-0.0,-0.05,304.4, 305.9,  28.2,  28.2,   1.0,   0.0,  20.32,  19.56,     7.00,  156.58,   72.13, 2143.0,  286.13,  284.22,  295.78,  301.19, 1280.69, 1304.06, 1299.44, 1280.84,  5111.3,73, NAV1,4.0,114.1,114.1,121.7,125.3, -5.903,       ,   8.99, -47.0,    1.0,  -29.2,10.1,      0,  NONE,   NONE,      ,      , -240.2, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:34
2023-12-08, 19:37:35,  -07:00,   KPRC,   34.6396675, -112.4130096,5172.7,30.09,  5195.1,6.5,68.14,  67.37,-278.98,-1.19,0.98,0.02,-0.0,305.4, 306.4,  28.1,  28.2,   1.0,   0.0,  20.32,  19.56,     7.00,  156.49,   71.98, 2158.6,  286.07,  284.13,  295.72,  301.08, 1294.48, 1315.98, 1308.06, 1291.05,  5106.6,74, NAV1,4.0,114.1,114.1,121.7,125.3, -5.892,       ,   8.88, -47.5,    1.0,  -28.7,10.1,      0,  NONE,   NONE,      ,      , -283.5, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:35
2023-12-08, 19:37:36,  -07:00,   KPRC,   34.6398964, -112.4132690,5165.7,30.09,  5190.9,6.5,66.93,  67.72,-325.33,-0.69,-0.2,0.01,0.01,305.3, 306.9,  28.1,  28.2,   0.9,   0.0,  20.32,  19.53,     7.00,  156.39,   71.89, 2143.0,  286.03,  284.07,  295.67,  301.01, 1304.13, 1325.03, 1315.03, 1298.47,  5102.4,72, NAV1,4.0,114.1,114.1,121.7,125.3, -5.891,       ,   8.77, -48.1,    0.9,  -28.3,10.1,      0,  NONE,   NONE,      ,      , -252.0, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:36
2023-12-08, 19:37:37,  -07:00,   KPRC,   34.6401291, -112.4135284,5163.7,30.09,  5186.8,6.5,67.38,  68.00,-287.57,-1.48,-1.63,0.01,0.02,305.7, 306.9,  28.1,  28.2,   1.0,   0.0,  20.32,  19.40,     6.92,  156.30,   71.81, 2144.6,  286.02,  284.04,  295.65,  300.96, 1310.80, 1331.11, 1320.38, 1304.33,  5098.4,73, NAV1,4.0,114.1,114.1,121.7,125.3, -5.887,       ,   8.64, -48.6,    0.9,  -27.8,10.1,      0,  NONE,   NONE,      ,      , -240.2, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:37
2023-12-08, 19:37:38,  -07:00,   KPRC,   34.6403580, -112.4137878,5158.7,30.09,  5183.2,6.5,67.89,  68.35,-261.85,-2.31,-1.58,0.02,-0.08,305.4, 306.8,  28.1,  28.2,   1.0,   0.0,  20.32,  19.22,     6.35,  156.20,   71.07, 2091.5,  286.05,  284.01,  295.63,  300.91, 1313.82, 1333.78, 1321.58, 1305.97,  5094.7,73, NAV1,4.0,114.1,114.1,121.7,125.3, -5.895,       ,   8.50, -49.2,    0.9,  -27.3,10.1,      0,  NONE,   NONE,      ,      , -279.5, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:38
2023-12-08, 19:37:39,  -07:00,   KPRC,   34.6405907, -112.4140549,5155.7,30.09,  5175.7,6.5,68.17,  68.52,-232.52,-2.89,-0.91,0.03,-0.06,305.2, 306.7,  28.1,  28.1,   0.9,   0.0,  20.19,  19.22,     5.57,  156.10,   69.54, 1984.2,  286.10,  284.01,  295.66,  300.89, 1308.48, 1329.24, 1314.93, 1301.82,  5087.3,74, NAV1,4.0,114.1,114.1,121.7,125.3, -5.911,       ,   8.34, -49.7,    0.9,  -26.7,10.1,      0,  NONE,   NONE,      ,      , -409.4, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:39
2023-12-08, 19:37:40,  -07:00,   KPRC,   34.6408195, -112.4143219,5148.7,30.09,  5166.5,6.5,68.06,  68.66,-288.52,-2.91,-1.63,0.0,-0.01,305.0, 306.7,  28.1,  28.2,   0.9,   0.0,  20.09,  19.02,     5.18,  156.00,   68.17, 1880.1,  286.17,  284.02,  295.71,  300.90, 1296.27, 1316.85, 1303.59, 1293.01,  5078.1,74, NAV1,4.0,114.1,114.1,121.7,125.3, -5.927,       ,   8.18, -50.3,    0.9,  -26.2,10.1,      0,  NONE,   NONE,      ,      , -507.9, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:40
2023-12-08, 19:37:41,  -07:00,   KPRC,   34.6410522, -112.4145813,5138.7,30.09,  5157.5,6.5,68.31,  68.73,-393.35,-3.23,-2.69,0.0,-0.02,305.5, 306.5,  28.1,  28.2,   1.0,   0.0,  20.04,  18.84,     5.10,  155.92,   67.85, 1844.6,  286.25,  284.05,  295.76,  300.91, 1284.19, 1302.98, 1292.62, 1284.10,  5069.0,74, NAV1,4.0,114.1,114.1,121.7,125.3, -5.932,       ,   8.01, -51.0,    0.9,  -25.6,10.1,      0,  NONE,   NONE,      ,      , -535.4, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:41
2023-12-08, 19:37:42,  -07:00,   KPRC,   34.6412811, -112.4148483,5126.7,30.09,  5148.1,6.5,66.92,  68.91,-515.06,-2.45,-1.69,0.01,0.02,305.2, 306.2,  28.1,  28.2,   1.0,   0.0,  20.07,  18.66,     5.16,  155.83,   67.65, 1841.8,  286.33,  284.09,  295.83,  300.94, 1273.07, 1293.29, 1284.00, 1276.54,  5059.7,72, NAV1,4.0,114.1,114.1,121.7,125.3, -5.926,       ,   7.85, -51.6,    0.8,  -25.0,10.1,      0,  NONE,   NONE,      ,      , -559.1, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:42
2023-12-08, 19:37:43,  -07:00,   KPRC,   34.6415138, -112.4151230,5117.7,30.09,  5140.3,6.5,67.25,  69.08,-587.5,-0.94,-1.23,0.02,0.06,304.8, 306.1,  28.1,  28.1,   1.0,   0.0,  20.07,  18.55,     6.12,  155.74,   69.06, 1909.0,  286.40,  284.15,  295.89,  300.96, 1266.90, 1289.62, 1280.37, 1273.99,  5051.9,73, NAV1,4.0,114.1,114.1,121.7,125.3, -5.908,       ,   7.68, -52.3,    0.8,  -24.3,10.1,      0,  NONE,   NONE,      ,      , -472.4, 3DDiff,1852,      ,      9,  11.0,     18,2023-12-08 19:37:43
