Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-03-09, 12:23:50,  -07:00,   KPRC,   34.6326180, -112.4361420,5650.4,30.18,  5668.5,9.2,63.78,  79.62,356.15,6.76,-6.6,-0.02,-0.17,299.9, 301.9,  28.2,  28.2,   0.8,   0.0,  19.89,  22.32,     3.85,  167.07,   63.31, 1554.1,  296.34,  291.62,  304.12,  316.62, 1125.30, 1156.35, 1156.57, 1143.01,  5579.9,70.0,  GPS,23.2,114.1,114.1,121.7,125.3, -0.029,       ,   9.71, 134.8,    1.6,   22.2,10.0,      0,  NONE,   NONE,      ,      , 259.8, 3DDiff,1852.0,      ,     10,  10.5,     16,2024-03-09 12:23:50
2024-03-09, 12:23:51,  -07:00,   KPRC,   34.6328468, -112.4364777,5657.4,30.18,  5671.4,9.2,62.05,  77.60,371.06,5.0,-5.71,0.02,0.12,298.5, 299.9,  28.2,  28.2,   0.8,   0.0,  19.81,  22.45,     3.95,  166.99,   63.03, 1537.8,  295.69,  291.03,  303.58,  316.05, 1120.78, 1153.44, 1152.90, 1137.56,  5582.8,68.0,  GPS,23.2,114.1,114.1,121.7,125.3, -0.007,       ,   9.76, 135.4,    1.6,   23.0,10.0,      0,  NONE,   NONE,      ,      , 189.0, 3DDiff,1852.0,      ,     10,  10.0,     16,2024-03-09 12:23:51
2024-03-09, 12:23:52,  -07:00,   KPRC,   34.6330681, -112.4368134,5663.4,30.18,  5678.9,9.2,63.26,  76.33,343.01,3.89,3.57,-0.03,-0.24,297.3, 298.2,  28.2,  28.2,   0.8,   0.0,  19.79,  22.57,     3.87,  166.91,   63.22, 1540.0,  294.96,  290.43,  303.06,  315.48, 1115.90, 1150.93, 1146.92, 1132.86,  5590.2,69.0,  GPS,23.2,114.1,114.1,121.7,125.3,  0.014,       ,   9.81, 135.9,    1.6,   23.7,10.0,      0,  NONE,   NONE,      ,      , 389.8, 3DDiff,1852.0,      ,     10,  10.5,     16,2024-03-09 12:23:52
2024-03-09, 12:23:53,  -07:00,   KPRC,   34.6332855, -112.4371490,5670.4,30.18,  5681.6,9.2,59.0,  75.07,380.23,5.28,14.63,-0.02,0.0,297.7, 298.6,  28.2,  28.2,   0.8,   0.0,  19.81,  22.62,     3.91,  166.85,   62.84, 1519.3,  294.38,  289.85,  302.55,  314.91, 1112.36, 1148.47, 1143.36, 1128.94,  5592.9,65.0,  GPS,23.2,114.1,114.1,121.7,125.3,  0.035,       ,   9.84, 136.3,    1.6,   24.5,10.0,      0,  NONE,   NONE,      ,      , 161.4, 3DDiff,1852.0,      ,     10,  10.5,     16,2024-03-09 12:23:53
2024-03-09, 12:23:54,  -07:00,   KPRC,   34.6335144, -112.4374542,5675.4,30.18,  5684.4,9.2,57.46,  74.55,373.27,2.19,19.49,-0.11,-0.16,299.9, 301.4,  28.2,  28.2,   0.8,   0.0,  19.81,  22.62,     3.90,  166.78,   62.76, 1510.8,  293.66,  289.27,  302.02,  314.34, 1109.14, 1146.14, 1139.26, 1124.39,  5595.8,63.0,  GPS,23.2,114.1,114.1,121.7,125.3,  0.055,       ,   9.87, 136.7,    1.6,   25.2,10.0,      0,  NONE,   NONE,      ,      , 165.4, 3DDiff,1852.0,      ,     10,  10.5,     16,2024-03-09 12:23:54
2024-03-09, 12:23:55,  -07:00,   KPRC,   34.6337585, -112.4377594,5674.4,30.18,  5682.7,9.2,57.94,  74.18,255.06,0.62,22.17,0.02,0.14,310.3, 305.0,  28.2,  28.2,   0.8,   0.0,  19.84,  22.68,     3.86,  166.69,   62.70, 1512.6,  293.08,  288.71,  301.52,  313.77, 1105.24, 1143.26, 1135.27, 1119.56,  5594.1,63.0,  GPS,23.2,114.1,114.1,121.7,125.3,  0.075,       ,   9.91, 137.0,    1.6,   26.0,10.0,      0,  NONE,   NONE,      ,      , -106.3, 3DDiff,1852.0,      ,     10,  10.5,     16,2024-03-09 12:23:55
2024-03-09, 12:23:56,  -07:00,   KPRC,   34.6340256, -112.4380188,5665.4,30.18,  5678.7,9.2,58.88,  74.39,-56.69,-2.04,25.97,-0.0,0.07,317.8, 310.6,  28.2,  28.2,   0.8,   0.0,  19.99,  22.72,     3.90,  166.62,   62.90, 1528.8,  292.36,  288.13,  300.99,  313.22, 1102.01, 1140.08, 1131.44, 1115.59,  5590.0,64.0,  GPS,23.2,114.1,114.1,121.7,125.3,  0.095,       ,   9.95, 137.0,    1.6,   26.7,10.0,      0,  NONE,   NONE,      ,      , -208.7, 3DDiff,1852.0,      ,     10,  10.5,     16,2024-03-09 12:23:56
2024-03-09, 12:23:57,  -07:00,   KPRC,   34.6343155, -112.4382477,5662.4,30.18,  5673.5,9.2,60.7,  74.72,-177.22,-2.8,26.72,0.02,0.08,324.1, 316.9,  28.2,  28.2,   0.8,  -0.0,  20.17,  22.66,     3.88,  166.55,   63.07, 1536.5,  291.72,  287.57,  300.49,  312.66, 1101.52, 1138.43, 1129.20, 1112.26,  5584.8,66.0,  GPS,23.2,114.1,114.1,121.7,125.3,  0.114,       ,   9.98, 136.7,    1.5,   27.5,10.0,      0,  NONE,   NONE,      ,      , -358.3, 3DDiff,1852.0,      ,     11,  15.0,     17,2024-03-09 12:23:57
2024-03-09, 12:23:58,  -07:00,   KPRC,   34.6346245, -112.4384308,5654.4,30.18,  5663.8,9.2,61.38,  75.19,-282.59,-3.12,26.38,-0.02,-0.06,329.9, 323.6,  28.2,  28.2,   0.8,   0.0,  20.22,  22.55,     3.85,  166.49,   63.03, 1530.1,  291.15,  287.02,  299.97,  312.10, 1100.79, 1138.46, 1127.50, 1110.27,  5575.1,67.0,  GPS,23.2,114.1,114.1,121.7,125.3,  0.132,       ,  10.01, 136.1,    1.5,   28.1,10.0,      0,  NONE,   NONE,      ,      , -484.3, 3DDiff,1852.0,      ,     10,  12.5,     16,2024-03-09 12:23:58
2024-03-09, 12:23:59,  -07:00,   KPRC,   34.6349564, -112.4385757,5648.4,30.18,  5651.5,9.2,61.82,  75.56,-349.31,-2.1,30.86,-0.04,-0.07,336.7, 329.8,  28.2,  28.2,   0.8,   0.0,  20.27,  22.45,     3.92,  166.42,   63.14, 1536.2,  290.53,  286.48,  299.46,  311.55, 1099.94, 1137.38, 1125.86, 1108.81,  5562.8,68.0,  GPS,23.2,114.1,114.1,121.7,125.3,  0.149,       ,  10.03, 135.3,    1.5,   28.8,10.0,      0,  NONE,   NONE,      ,      , -728.3, 3DDiff,1852.0,      ,     10,  15.5,     16,2024-03-09 12:23:59
