Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,amp1,amp2,FQtyL,FQtyR,E1 FFlow,E1 OilT,E1 OilP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,Timestamp
2024-02-04, 11:07:24,  -07:00,   KPRC,   34.6816444, -112.4143982,5715.0,30.16,  5722.1,2.8,67.58,  68.87,-530.55,-3.11,22.84,0.0,0.05,78.1,  67.9,  28.2,  28.2,   0.8,   0.0,  16.46,  16.01,     0.95,  157.10,   55.23, 1017.4,  309.05,  301.65,  307.24,  321.44,  800.48,  858.24,  986.64,  986.57,  5633.9,73,  GPS,218.4,114.1,114.1,121.7,125.3, -1.045,       ,  11.23, 140.0,    1.6,  178.4,10.0,      0,  NONE,   NONE,      ,      , -775.6, 3DDiff,1852,      ,      8,   9.0,     14,2024-02-04 11:07:24
2024-02-04, 11:07:25,  -07:00,   KPRC,   34.6816750, -112.4140167,5696.0,30.16,  5705.3,2.8,67.14,  68.44,-727.44,-3.53,22.43,0.03,0.09,85.2,  74.6,  28.2,  28.2,   0.8,   0.0,  16.57,  15.86,     0.96,  157.25,   55.08, 1011.9,  308.08,  300.87,  306.48,  320.69,  800.36,  859.25,  987.64,  984.40,  5617.1,73,  GPS,218.4,114.1,114.1,121.7,125.3, -1.033,       ,  11.32, 140.6,    1.6,  179.0,10.0,      0,  NONE,   NONE,      ,      , -885.8, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:25
2024-02-04, 11:07:26,  -07:00,   KPRC,   34.6816711, -112.4136353,5679.0,30.16,  5690.4,2.8,67.63,  68.27,-900.93,-2.89,20.02,0.02,0.14,91.8,  81.2,  28.2,  28.2,   0.8,   0.0,  16.57,  15.69,     0.99,  157.38,   55.21, 1012.8,  307.12,  300.16,  305.71,  319.97,  799.37,  870.61,  990.71,  975.37,  5602.2,73,  GPS,218.4,114.1,114.1,121.7,125.3, -1.021,       ,  11.40, 141.2,    1.6,  179.7,10.0,      0,  NONE,   NONE,      ,      , -870.1, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:26
2024-02-04, 11:07:27,  -07:00,   KPRC,   34.6816292, -112.4132538,5663.0,30.16,  5677.7,2.8,67.46,  68.09,-969.44,-2.52,18.85,0.04,0.12,97.9,  87.8,  28.1,  28.2,   0.8,  -0.0,  16.68,  15.52,     0.99,  157.53,   55.22, 1016.5,  306.15,  299.31,  304.95,  319.23,  794.33,  869.71,  988.86,  971.31,  5589.5,73,  GPS,218.4,114.1,114.1,121.7,125.3, -1.006,       ,  11.49, 142.0,    1.6, -179.6,10.0,      0,  NONE,   NONE,      ,      , -807.1, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:27
2024-02-04, 11:07:28,  -07:00,   KPRC,   34.6815529, -112.4128876,5648.0,30.16,  5665.3,2.8,67.32,  67.90,-953.27,-3.03,13.89,0.05,0.02,103.1,  93.6,  28.1,  28.2,   0.8,   0.0,  16.70,  15.35,     0.96,  157.67,   55.27, 1015.2,  305.18,  298.59,  304.17,  318.50,  795.61,  869.95,  988.28,  969.31,  5577.2,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.991,       ,  11.58, 142.8,    1.6, -179.0,10.0,      0,  NONE,   NONE,      ,      , -752.0, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:28
2024-02-04, 11:07:29,  -07:00,   KPRC,   34.6814537, -112.4125290,5632.0,30.16,  5651.4,2.8,66.86,  67.74,-951.03,-2.54,10.17,0.04,0.16,106.7,  98.3,  28.2,  28.2,   0.8,   0.0,  16.68,  15.25,     0.98,  157.81,   55.31, 1015.9,  304.18,  297.80,  303.42,  317.75,  792.77,  873.50,  983.73,  968.86,  5563.6,72,  GPS,218.4,114.1,114.1,121.7,125.3, -0.975,       ,  11.66, 143.8,    1.6, -178.3,10.0,      0,  NONE,   NONE,      ,      , -791.3, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:29
2024-02-04, 11:07:30,  -07:00,   KPRC,   34.6813354, -112.4121780,5621.0,30.16,  5639.0,2.8,65.82,  67.94,-885.84,-3.37,11.8,0.04,-0.03,108.7, 102.3,  28.2,  28.2,   0.8,   0.0,  16.68,  15.25,     0.99,  157.97,   55.21, 1012.1,  303.20,  296.93,  302.65,  317.00,  794.51,  869.55,  974.58,  970.02,  5551.1,71,  GPS,218.4,114.1,114.1,121.7,125.3, -0.958,       ,  11.72, 145.0,    1.6, -177.7,10.0,      0,  NONE,   NONE,      ,      , -736.2, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:30
2024-02-04, 11:07:31,  -07:00,   KPRC,   34.6811981, -112.4118347,5612.0,30.16,  5626.2,2.8,67.61,  68.13,-740.24,-2.29,10.7,0.02,0.06,110.8, 105.8,  28.2,  28.2,   0.8,  -0.0,  16.54,  15.25,     0.97,  158.11,   55.31, 1020.5,  302.22,  296.13,  301.89,  316.26,  792.43,  861.45,  969.19,  969.69,  5538.3,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.940,       ,  11.75, 146.2,    1.6, -177.0,10.0,      0,  NONE,   NONE,      ,      , -752.0, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:31
2024-02-04, 11:07:32,  -07:00,   KPRC,   34.6810417, -112.4114990,5600.0,30.16,  5614.2,2.8,67.87,  68.29,-693.44,-2.42,8.78,0.02,0.02,113.7, 109.3,  28.2,  28.2,   0.8,   0.0,  16.41,  15.37,     0.98,  158.25,   55.33, 1017.0,  301.23,  295.31,  301.12,  315.51,  793.22,  867.92,  961.94,  969.79,  5526.3,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.922,       ,  11.74, 147.4,    1.6, -176.4,10.0,      0,  NONE,   NONE,      ,      , -704.7, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:32
2024-02-04, 11:07:33,  -07:00,   KPRC,   34.6808739, -112.4111710,5590.0,30.16,  5601.7,2.8,67.16,  68.46,-674.53,-3.15,8.94,0.02,0.02,116.3, 112.1,  28.2,  28.2,   0.8,   0.0,  16.22,  15.57,     0.98,  158.39,   55.32, 1013.9,  300.24,  294.48,  300.34,  314.75,  793.42,  867.65,  951.53,  971.34,  5513.8,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.904,       ,  11.71, 148.7,    1.6, -175.7,10.0,      0,  NONE,   NONE,      ,      , -708.7, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:33
2024-02-04, 11:07:34,  -07:00,   KPRC,   34.6806908, -112.4108658,5577.0,30.16,  5588.4,2.8,67.22,  68.75,-684.25,-3.18,8.62,0.03,0.04,119.2, 114.8,  28.1,  28.2,   0.8,   0.0,  16.06,  15.81,     0.97,  158.53,   55.40, 1019.5,  299.24,  293.73,  299.56,  313.99,  794.28,  854.82,  941.35,  969.91,  5500.6,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.886,       ,  11.63, 149.9,    1.6, -175.1,10.0,      0,  NONE,   NONE,      ,      , -763.8, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:34
2024-02-04, 11:07:35,  -07:00,   KPRC,   34.6804924, -112.4105453,5563.0,30.16,  5574.9,2.8,67.7,  69.16,-743.81,-3.22,9.14,0.02,0.03,121.7, 117.9,  28.2,  28.2,   0.8,  -0.0,  15.93,  16.09,     0.96,  158.67,   55.53, 1024.9,  298.24,  292.92,  298.77,  313.22,  785.62,  838.14,  930.28,  966.79,  5487.0,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.866,       ,  11.53, 151.1,    1.6, -174.5,10.0,      0,  NONE,   NONE,      ,      , -775.6, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:35
2024-02-04, 11:07:36,  -07:00,   KPRC,   34.6802788, -112.4102478,5551.0,30.16,  5561.9,2.8,67.86,  69.61,-757.67,-3.12,9.2,0.0,0.02,124.4, 120.8,  28.2,  28.2,   0.8,   0.0,  15.93,  16.09,     0.98,  158.83,   55.54, 1022.6,  297.23,  292.01,  297.98,  312.46,  781.32,  831.05,  930.86,  963.71,  5474.1,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.847,       ,  11.39, 152.3,    1.6, -173.8,10.0,      0,  NONE,   NONE,      ,      , -771.7, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:36
2024-02-04, 11:07:37,  -07:00,   KPRC,   34.6800613, -112.4099731,5539.0,30.16,  5549.8,2.8,68.66,  69.98,-753.1,-2.89,7.75,0.03,-0.01,127.4, 123.5,  28.2,  28.2,   0.8,   0.0,  15.86,  16.33,     1.00,  158.98,   55.68, 1030.7,  296.22,  291.17,  297.21,  311.69,  782.45,  828.95,  923.26,  961.21,  5461.9,74,  GPS,218.4,114.1,114.1,121.7,125.3, -0.828,       ,  11.22, 153.5,    1.6, -173.2,10.0,      0,  NONE,   NONE,      ,      , -744.1, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:37
2024-02-04, 11:07:38,  -07:00,   KPRC,   34.6798210, -112.4096985,5525.0,30.16,  5537.1,2.8,67.98,  70.27,-782.86,-3.15,4.63,0.04,-0.01,129.9, 126.2,  28.2,  28.2,   0.7,   0.0,  15.91,  16.46,     0.97,  159.11,   55.73, 1034.6,  295.21,  290.43,  296.42,  310.93,  776.68,  835.14,  918.87,  960.39,  5449.2,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.809,       ,  11.03, 154.7,    1.6, -172.6,10.0,      0,  NONE,   NONE,      ,      , -755.9, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:38
2024-02-04, 11:07:39,  -07:00,   KPRC,   34.6795807, -112.4094391,5511.0,30.16,  5524.7,2.8,68.51,  70.54,-805.18,-2.34,6.9,0.02,0.06,131.1, 128.1,  28.2,  28.2,   0.8,  -0.0,  15.98,  16.52,     0.99,  159.26,   55.70, 1029.1,  294.20,  289.60,  295.64,  310.17,  770.85,  834.06,  916.83,  961.59,  5436.9,74,  GPS,218.4,114.1,114.1,121.7,125.3, -0.789,       ,  10.81, 156.0,    1.6, -172.0,10.0,      0,  NONE,   NONE,      ,      , -787.4, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:39
2024-02-04, 11:07:40,  -07:00,   KPRC,   34.6793289, -112.4091873,5502.0,30.16,  5513.2,2.8,68.82,  70.78,-740.3,-1.88,8.83,-0.0,-0.0,132.0, 130.4,  28.1,  28.2,   0.8,   0.0,  16.09,  16.52,     1.00,  159.40,   55.72, 1025.8,  293.17,  288.78,  294.84,  309.39,  764.71,  837.21,  928.03,  960.56,  5425.3,74,  GPS,218.4,114.1,114.1,121.7,125.3, -0.770,       ,  10.58, 157.2,    1.5, -171.4,10.0,      0,  NONE,   NONE,      ,      , -744.1, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:40
2024-02-04, 11:07:41,  -07:00,   KPRC,   34.6790695, -112.4089432,5494.0,30.16,  5501.7,2.8,70.15,  70.72,-627.57,-1.74,8.84,0.0,0.02,135.2, 132.8,  28.2,  28.2,   0.8,   0.0,  16.22,  16.46,     0.97,  159.55,   55.82, 1030.0,  292.16,  287.96,  294.04,  308.60,  759.90,  839.35,  937.25,  957.92,  5413.9,76,  GPS,218.4,114.1,114.1,121.7,125.3, -0.750,       ,  10.33, 158.5,    1.5, -170.8,10.0,      0,  NONE,   NONE,      ,      , -704.7, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:41
2024-02-04, 11:07:42,  -07:00,   KPRC,   34.6787987, -112.4087219,5477.0,30.16,  5490.1,2.8,69.3,  70.64,-707.95,-2.71,6.7,0.05,-0.0,139.4, 135.3,  28.2,  28.2,   0.8,   0.0,  16.22,  16.46,     0.99,  159.70,   55.90, 1032.4,  291.14,  287.12,  293.24,  307.83,  755.75,  836.68,  930.65,  954.53,  5402.3,75,  GPS,218.4,114.1,114.1,121.7,125.3, -0.731,       ,  10.06, 159.8,    1.5, -170.2,10.0,      0,  NONE,   NONE,      ,      , -700.8, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:42
2024-02-04, 11:07:43,  -07:00,   KPRC,   34.6785240, -112.4085083,5460.0,30.16,  5477.9,2.8,67.68,  70.76,-851.68,-2.88,3.22,0.06,-0.01,142.0, 137.6,  28.2,  28.2,   0.8,  -0.0,  16.38,  16.33,     1.02,  159.84,   55.80, 1023.4,  290.11,  286.29,  292.44,  307.07,  755.74,  836.93,  925.85,  952.61,  5390.1,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.711,       ,   9.79, 161.0,    1.5, -169.6,10.0,      0,  NONE,   NONE,      ,      , -736.2, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:43
2024-02-04, 11:07:44,  -07:00,   KPRC,   34.6782417, -112.4083023,5446.0,30.16,  5463.8,2.8,67.56,  70.95,-906.52,-3.11,4.1,0.03,-0.01,141.8, 139.3,  28.2,  28.2,   0.8,   0.0,  16.49,  16.20,     1.00,  159.99,   55.57, 1014.6,  289.10,  285.45,  291.65,  306.28,  760.84,  835.14,  921.51,  954.67,  5375.9,73,  GPS,218.4,114.1,114.1,121.7,125.3, -0.692,       ,   9.52, 162.4,    1.5, -169.0,10.0,      0,  NONE,   NONE,      ,      , -818.9, 3DDiff,1852,      ,      8,   8.5,     14,2024-02-04 11:07:44
